Unnamed: 0,Units,# of Accelerators,Accelerator,Processor,Model MLC,Avg. Result at System Name,Host Processor Core Count,Number of Parameters (millions),Processor Clock Speed (GHz),GPU Speed Core Clock Speed,Memory Size(GB)
0,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99,3.643097261458808,56,25.0,2.0,1.75,80
1,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99,3.643097261458808,56,25.0,2.0,1.75,80
2,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99.9,3.643097261458808,56,25.0,2.0,1.75,80
3,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99.9,3.643097261458808,56,25.0,2.0,1.75,80
4,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,bert-99,6.001890196000807,56,110.0,2.0,1.75,80
5,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,bert-99.9,7.14152960033418,56,110.0,2.0,1.75,80
6,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,dlrm-v2-99,8.258576369869171,56,10000.0,2.0,1.75,80
7,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,dlrm-v2-99.9,8.917925404416827,56,10000.0,2.0,1.75,80
8,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,resnet,9.502203228687224,56,25.0,2.0,1.75,80
9,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,retinanet,9.456479296145115,56,40.0,2.0,1.75,80
10,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,rnnt,9.709443906739576,56,50.0,2.0,1.75,80
11,Samples/s,8,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8480+,stable-diffusion-xl,8.965505706194467,56,2600.0,2.0,1.75,80
12,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,3d-unet-99,8.948081583062184,24,25.0,2.6,1.11,48
13,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,3d-unet-99.9,8.9306574599299,24,25.0,2.6,1.11,48
14,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,bert-99,8.875596119867957,24,110.0,2.6,1.11,48
15,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,bert-99.9,8.772143062696674,24,110.0,2.6,1.11,48
16,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,dlrm-v2-99,8.718562618667772,24,10000.0,2.6,1.11,48
17,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,dlrm-v2-99.9,8.650065952573168,24,10000.0,2.6,1.11,48
18,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,gptj-99,7.809835945743147,24,6000.0,2.6,1.11,48
19,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,gptj-99.9,7.356069730726629,24,6000.0,2.6,1.11,48
20,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,resnet,7.464701483882095,24,25.0,2.6,1.11,48
21,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,retinanet,8.11413295920856,24,40.0,2.6,1.11,48
22,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,rnnt,8.909965593622413,24,50.0,2.6,1.11,48
23,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Gold 6442Y,stable-diffusion-xl,8.742920391803489,24,2600.0,2.6,1.11,48
24,Samples/s,8,NVIDIA L4,Intel(R) Xeon(R) Gold 6442Y,bert-99,8.61960750285949,24,110.0,2.6,0.795,24
25,Samples/s,8,NVIDIA L4,Intel(R) Xeon(R) Gold 6442Y,bert-99.9,8.522482401139312,24,110.0,2.6,0.795,24
26,Samples/s,2,NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,3d-unet-99,7.547098098962463,80,25.0,2.0,1.98,94
27,Samples/s,2,NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,3d-unet-99.9,6.637839305936725,80,25.0,2.0,1.98,94
28,Samples/s,2,NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,gptj-99,6.556965954897686,80,6000.0,2.0,1.98,94
29,Samples/s,4,Qualcomm Cloud AI 100 Pro,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz,bert-99,6.902661354533632,16,110.0,2.4,2.0,32
30,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,3d-unet-99,5.843067710794,24,25.0,2.5,2.235,24
31,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,3d-unet-99.9,5.188984233904046,24,25.0,2.5,2.235,24
32,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,bert-99,4.9476143249113775,24,110.0,2.5,2.235,24
33,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,bert-99.9,5.5770428221616895,24,110.0,2.5,2.235,24
34,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,gptj-99,4.916294728633414,24,6000.0,2.5,2.235,24
35,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,gptj-99.9,4.293750808585489,24,6000.0,2.5,2.235,24
36,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,resnet,5.189829496570411,24,25.0,2.5,2.235,24
37,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,retinanet,5.691127599126832,24,40.0,2.5,2.235,24
38,Samples/s,2,NVIDIA GeForce RTX 4090,Intel(R) Xeon(R) w7-2495X,rnnt,6.343289344150124,24,50.0,2.5,2.235,24
39,Samples/s,8,Qualcomm Cloud AI 100 Standard,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,resnet,6.731625846102074,24,25.0,2.5,2.0,16
40,Samples/s,8,Qualcomm Cloud AI 100 Standard,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,retinanet,7.291470446975396,24,40.0,2.5,2.0,16
41,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,3d-unet-99,7.34098229643146,64,25.0,2.0,1.065,80
42,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,3d-unet-99.9,6.711500006018101,64,25.0,2.0,1.065,80
43,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,bert-99,6.846935070388405,64,110.0,2.0,1.065,80
44,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,bert-99.9,7.491946384126538,64,110.0,2.0,1.065,80
45,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,resnet,8.455949159274404,64,25.0,2.0,1.065,80
46,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,retinanet,8.11506575300151,64,40.0,2.0,1.065,80
47,Samples/s,4,NVIDIA A100-PCIe-80GB,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,rnnt,8.459818648789781,64,50.0,2.0,1.065,80
48,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,3d-unet-99,7.645561988199395,120,25.0,2.0,1.11,48
49,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,3d-unet-99.9,6.669243868787793,120,25.0,2.0,1.11,48
50,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,bert-99,6.766592702451328,120,110.0,2.0,1.11,48
51,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,bert-99.9,7.31102589715727,120,110.0,2.0,1.11,48
52,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,resnet,8.180347312992561,120,25.0,2.0,1.11,48
53,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,retinanet,7.976068827380456,120,40.0,2.0,1.11,48
54,Samples/s,2,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,rnnt,8.10189893049187,120,50.0,2.0,1.11,48
55,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,3d-unet-99,7.185853463370194,64,25.0,2.0,1.11,48
56,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,3d-unet-99.9,6.667826593483238,64,25.0,2.0,1.11,48
57,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,bert-99,6.529398442595953,64,110.0,2.0,1.11,48
58,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,bert-99.9,7.201498472550218,64,110.0,2.0,1.11,48
59,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,gptj-99,7.377970774783414,64,6000.0,2.0,1.11,48
60,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,gptj-99.9,6.892484197909202,64,6000.0,2.0,1.11,48
61,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,resnet,7.28386503916443,64,25.0,2.0,1.11,48
62,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,retinanet,6.949698482393475,64,40.0,2.0,1.11,48
63,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,rnnt,7.281401529657998,64,50.0,2.0,1.11,48
64,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,stable-diffusion-xl,6.40829747463943,64,2600.0,2.0,1.11,48
65,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,3d-unet-99,6.345119651221066,64,25.0,3.25,1.11,48
66,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,3d-unet-99.9,6.2819418278027,64,25.0,3.25,1.11,48
67,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,bert-99,6.209741845389633,64,110.0,3.25,1.11,48
68,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,bert-99.9,6.1365439310184415,64,110.0,3.25,1.11,48
69,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,gptj-99,6.068292538592583,64,6000.0,3.25,1.11,48
70,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,gptj-99.9,6.000002677229918,64,6000.0,3.25,1.11,48
71,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,resnet,5.931842708506871,64,25.0,3.25,1.11,48
72,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,retinanet,5.863806615353632,64,40.0,3.25,1.11,48
73,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,rnnt,5.795828104845343,64,50.0,3.25,1.11,48
74,Samples/s,2,NVIDIA L40S,AMD EPYC 9354 32-Core Processor,stable-diffusion-xl,5.749852285797861,64,2600.0,3.25,1.11,48
75,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,3d-unet-99,5.861548428531491,96,25.0,2.1,1.59,80
76,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,3d-unet-99.9,5.973244571265122,96,25.0,2.1,1.59,80
77,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,bert-99,6.142656958424188,96,110.0,2.1,1.59,80
78,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,bert-99.9,6.361822851971522,96,110.0,2.1,1.59,80
79,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,dlrm-v2-99,7.289700006699505,96,10000.0,2.1,1.59,80
80,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,dlrm-v2-99.9,8.170696049413579,96,10000.0,2.1,1.59,80
81,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,gptj-99,7.508244406600599,96,6000.0,2.1,1.59,80
82,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,gptj-99.9,7.246328065114646,96,6000.0,2.1,1.59,80
83,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,resnet,7.519811775889055,96,25.0,2.1,1.59,80
84,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,retinanet,8.321764866604386,96,40.0,2.1,1.59,80
85,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,rnnt,9.14257775805956,96,50.0,2.1,1.59,80
86,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,stable-diffusion-xl,9.011966863139495,96,2600.0,2.1,1.59,80
87,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99,8.292185546367223,56,25.0,2.0,1.59,80
88,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99.9,7.585294327268312,56,25.0,2.0,1.59,80
89,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,bert-99,7.381142442397319,56,110.0,2.0,1.59,80
90,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,bert-99.9,7.209891704982775,56,110.0,2.0,1.59,80
91,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,gptj-99,7.210634700633155,56,6000.0,2.0,1.59,80
92,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,gptj-99.9,7.211377696283532,56,6000.0,2.0,1.59,80
93,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,resnet,7.211097726390607,56,25.0,2.0,1.59,80
94,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,retinanet,7.210304200808872,56,40.0,2.0,1.59,80
95,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,rnnt,7.211309196991953,56,50.0,2.0,1.59,80
96,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,stable-diffusion-xl,7.215336586905747,56,2600.0,2.0,1.59,80
97,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99,7.283581374529912,56,25.0,2.0,1.59,80
98,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,3d-unet-99.9,7.351826162154078,56,25.0,2.0,1.59,80
99,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,bert-99,7.418187778877784,56,110.0,2.0,1.59,80
100,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,bert-99.9,7.486661898006912,56,110.0,2.0,1.59,80
101,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,dlrm-v2-99,8.331399099126962,56,10000.0,2.0,1.59,80
102,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,dlrm-v2-99.9,9.129379185506751,56,10000.0,2.0,1.59,80
103,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,gptj-99,8.39670347808442,56,6000.0,2.0,1.59,80
104,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,gptj-99.9,8.055635133611629,56,6000.0,2.0,1.59,80
105,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,resnet,8.251026847734014,56,25.0,2.0,1.59,80
106,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,retinanet,9.004043076908507,56,40.0,2.0,1.59,80
107,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,rnnt,9.82237322751434,56,50.0,2.0,1.59,80
108,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8480+,stable-diffusion-xl,9.686736858026972,56,2600.0,2.0,1.59,80
109,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8470,3d-unet-99,8.93551577042545,52,25.0,2.0,1.59,80
110,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8470,3d-unet-99.9,8.19620061391278,52,25.0,2.0,1.59,80
111,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8470,gptj-99,7.390101976577155,52,6000.0,2.0,1.59,80
112,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8470,gptj-99.9,6.630760453981786,52,6000.0,2.0,1.59,80
113,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8470,resnet,7.389233451491071,52,25.0,2.0,1.59,80
114,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8470,stable-diffusion-xl,7.077283174630947,52,2600.0,2.0,1.59,80
115,Samples/s,8,Virtualized NVIDIA H100-SXM-80GB,Intel Xeon Platinum 8480,3d-unet-99,6.12721266122732,56,25.0,2.1,1.065,80
116,Samples/s,8,Virtualized NVIDIA H100-SXM-80GB,Intel Xeon Platinum 8480,3d-unet-99.9,5.56791902541611,56,25.0,2.1,1.065,80
117,Samples/s,8,Virtualized NVIDIA H100-SXM-80GB,Intel Xeon Platinum 8480,bert-99,5.468058786164992,56,110.0,2.1,1.065,80
118,Samples/s,8,Virtualized NVIDIA H100-SXM-80GB,Intel Xeon Platinum 8480,retinanet,6.162022507182898,56,40.0,2.1,1.065,80
119,Samples/s,8,Virtualized NVIDIA H100-SXM-80GB,Intel Xeon Platinum 8480,stable-diffusion-xl,6.062318516810496,56,2600.0,2.1,1.065,80
120,Samples/s,4,QUALCOMM Cloud AI 100 Ultra,Intel(R) Xeon(R) Gold 6448Y,bert-99,6.586700779915191,32,110.0,2.1,2.0,128
121,Samples/s,4,QUALCOMM Cloud AI 100 Ultra,Intel(R) Xeon(R) Gold 6448Y,bert-99.9,6.903307476408992,32,110.0,2.1,2.0,128
122,Samples/s,4,QUALCOMM Cloud AI 100 Ultra,Intel(R) Xeon(R) Gold 6448Y,resnet,7.616126515708684,32,25.0,2.1,2.0,128
123,Samples/s,4,QUALCOMM Cloud AI 100 Ultra,Intel(R) Xeon(R) Gold 6448Y,retinanet,7.130082282349514,32,40.0,2.1,2.0,128
124,Samples/s,2,Virtualized NVIDIA L40S,Intel Xeon Platinum 8580,3d-unet-99,7.113341390870316,60,25.0,2.0,1.11,48
125,Samples/s,2,Virtualized NVIDIA L40S,Intel Xeon Platinum 8580,3d-unet-99.9,6.932790851857047,60,25.0,2.0,1.11,48
126,Samples/s,2,Virtualized NVIDIA L40S,Intel Xeon Platinum 8580,bert-99,7.407592404849081,60,110.0,2.0,1.11,48
127,Samples/s,2,Virtualized NVIDIA L40S,Intel Xeon Platinum 8580,retinanet,7.028998492699468,60,40.0,2.0,1.11,48
128,Samples/s,2,Virtualized NVIDIA L40S,Intel Xeon Platinum 8580,rnnt,7.073866424978664,60,50.0,2.0,1.11,48
129,Samples/s,2,Virtualized NVIDIA L40S,Intel Xeon Platinum 8580,stable-diffusion-xl,6.891750144326354,60,2600.0,2.0,1.11,48
130,Samples/s,16,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8452Y,stable-diffusion-xl,6.243296808576559,36,2600.0,2.0,1.11,48
131,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8452Y,gptj-99,5.867142564136563,36,6000.0,2.0,1.11,48
132,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8452Y,gptj-99.9,5.094775976890675,36,6000.0,2.0,1.11,48
133,Samples/s,8,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8452Y,stable-diffusion-xl,4.44330131515529,36,2600.0,2.0,1.11,48
134,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,gptj-99,4.700070915496214,48,6000.0,2.1,1.59,80
135,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,gptj-99.9,4.956840515837139,48,6000.0,2.1,1.59,80
136,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,resnet,5.362733044814656,48,25.0,2.1,1.59,80
137,Samples/s,4,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,stable-diffusion-xl,4.82747027053669,48,2600.0,2.1,1.59,80
138,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,3d-unet-99,4.223991513041904,64,25.0,1.9,1.59,80
139,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,3d-unet-99.9,4.537863179250701,64,25.0,1.9,1.59,80
140,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,bert-99,5.413509603583104,64,110.0,1.9,1.59,80
141,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,bert-99.9,6.059783511238779,64,110.0,1.9,1.59,80
142,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,dlrm-v2-99,6.926194917895967,64,10000.0,1.9,1.59,80
143,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,dlrm-v2-99.9,8.036401811982545,64,10000.0,1.9,1.59,80
144,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,gptj-99,8.112514308715545,64,6000.0,1.9,1.59,80
145,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,gptj-99.9,8.188626805448546,64,6000.0,1.9,1.59,80
146,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,resnet,8.257928182734418,64,25.0,1.9,1.59,80
147,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,retinanet,9.012830213038756,64,40.0,1.9,1.59,80
148,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,rnnt,9.832292449724935,64,50.0,1.9,1.59,80
149,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8592+,stable-diffusion-xl,9.700889798220246,64,2600.0,1.9,1.59,80
150,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,3d-unet-99,8.980319508571618,208,25.0,2.7,1.59,80
151,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,3d-unet-99.9,8.272613054951627,208,25.0,2.7,1.59,80
152,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,bert-99,8.064455558499251,208,110.0,2.7,1.59,80
153,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,bert-99.9,7.89095942262068,208,110.0,2.7,1.59,80
154,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,dlrm-v2-99.9,8.616087061276207,208,10000.0,2.7,1.59,80
155,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,gptj-99,8.613910110243141,208,6000.0,2.7,1.59,80
156,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,gptj-99.9,7.814069258015313,208,6000.0,2.7,1.59,80
157,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,retinanet,7.812454677897975,208,40.0,2.7,1.59,80
158,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8481C,stable-diffusion-xl,6.85952639383992,208,2600.0,2.7,1.59,80
159,Samples/s,4,TPU v5e,AMD EPYC 7B13,gptj-99,6.835346147169811,56,6000.0,2.2,2.0,32
160,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,3d-unet-99,6.836146151436519,48,25.0,2.1,1.59,80
161,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,3d-unet-99.9,6.837156742552372,48,25.0,2.1,1.59,80
162,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,bert-99,6.838704990593799,48,110.0,2.1,1.59,80
163,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,resnet,7.0829659010081,48,25.0,2.1,1.59,80
164,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,retinanet,6.765716207488214,48,40.0,2.1,1.59,80
165,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,rnnt,7.434439466281657,48,50.0,2.1,1.59,80
166,Samples/s,8,NVIDIA H100-SXM-80GB,Intel(R) Xeon(R) Platinum 8468,stable-diffusion-xl,7.152789549988109,48,2600.0,2.1,1.59,80
167,Samples/s,4,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8468,3d-unet-99,6.492164431618193,48,25.0,2.1,1.75,80
168,Samples/s,4,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8468,3d-unet-99.9,6.523189509419351,48,25.0,2.1,1.75,80
169,Samples/s,4,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8468,resnet,7.510330408061959,48,25.0,2.1,1.75,80
170,Samples/s,4,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8468,retinanet,7.952064639973027,48,40.0,2.1,1.75,80
171,Samples/s,4,NVIDIA H100-PCIe-80GB,Intel(R) Xeon(R) Platinum 8468,rnnt,8.672515037908976,48,50.0,2.1,1.75,80
172,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,3d-unet-99,7.83626758253685,60,25.0,2.0,1.11,48
173,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,3d-unet-99.9,6.769939177738396,60,25.0,2.0,1.11,48
174,Samples/s,4,NVIDIA L40S,Intel(R) Xeon(R) Platinum 8580,bert-99,6.759920483413646,60,110.0,2.0,1.11,48
